0	0.727977
0.2	0.71788
0.4	0.732533
0.6	0.736799
0.8	0.735573
1	0.817827
1.2	0.737971
1.4	0.732481
1.6	0.714641
1.8	0.752923
2	0.687762
2.2	0.753991
2.4	0.791403
2.6	0.693008
2.8	0.739648
3	0.75999
3.2	0.756159
3.4	0.733821
3.6	0.720122
3.8	0.752736
4	0.70932
4.2	0.736036
4.4	0.703645
4.6	0.784404
4.8	0.779527
5	0.771937
5.2	0.703959
5.4	0.663994
5.6	0.73207
5.8	0.746753
6	0.800333
6.2	0.701148
6.4	0.76079
6.6	0.746584
6.8	0.736555
7	0.742474
7.2	0.718429
7.4	0.7334
7.6	0.705155
7.8	0.770319
8	0.754242
8.2	0.765023
8.4	0.768986
8.6	0.72764
8.8	0.732246
9	0.698291
9.2	0.719234
9.4	0.809065
9.6	0.739596
9.8	0.737155
10	0.784836
10.2	0.7052
10.4	0.72504
10.6	0.731759
10.8	0.691519
11	0.759944
11.2	0.789843
11.4	0.773834
11.6	0.796469
11.8	0.670825
12	0.711027
12.2	0.728258
12.4	0.700808
12.6	0.728667
12.8	0.752989
13	0.808527
13.2	0.79588
13.4	0.705753
13.6	0.70546
13.8	0.633642
14	0.714164
14.2	0.794926
14.4	0.783377
14.6	0.79195
14.8	0.728493
15	0.746921
15.2	0.69658
15.4	0.66852
15.6	0.70577
15.8	0.755517
16	0.756201
16.2	0.751166
16.4	0.772715
16.6	0.811297
16.8	0.731911
17	0.696299
17.2	0.696295
17.4	0.681104
17.6	0.785381
17.8	0.810103
18	0.79719
18.2	0.760817
18.4	0.689168
18.6	0.699545
18.8	0.732619
19	0.744805
19.2	0.7564
19.4	0.798389
19.6	0.766543
19.8	0.719354
20	0.712687
20.2	0.694016
20.4	0.691033
20.6	0.720155
20.8	0.786165
21	0.736491
21.2	0.776827
21.4	0.782358
21.6	0.697636
21.8	0.667134
22	0.686788
22.2	0.738279
22.4	0.733032
22.6	0.81254
22.8	0.740713
23	0.75643
23.2	0.788988
23.4	0.693539
23.6	0.684836
23.8	0.741307
24	0.697815
24.2	0.840502
24.4	0.810189
24.6	0.769077
24.8	0.743178
25	0.664524
25.2	0.692327
25.4	0.725333
25.6	0.757387
25.8	0.787433
26	0.814653
26.2	0.752468
26.4	0.750373
26.6	0.759109
26.8	0.690541
27	0.654528
27.2	0.73972
27.4	0.730993
27.6	0.82642
27.8	0.795968
28	0.779821
28.2	0.653418
28.4	0.663968
28.6	0.710782
28.8	0.734655
29	0.734339
29.2	0.810398
29.4	0.777731
29.6	0.737039
29.8	0.771337
30	0.67227
30.2	0.733268
30.4	0.713621
30.6	0.764919
30.8	0.765556
31	0.762894
31.2	0.796624
31.4	0.766249
31.6	0.693194
31.8	0.658556
32	0.718709
32.2	0.774458
32.4	0.779477
32.6	0.776215
32.8	0.777215
33	0.757469
33.2	0.688177
33.4	0.648302
33.6	0.679691
33.8	0.769803
34	0.779964
34.2	0.794772
34.4	0.78775
34.6	0.683777
34.8	0.735005
35	0.71448
35.2	0.697197
35.4	0.747776
35.6	0.77391
35.8	0.760787
36	0.83666
36.2	0.69769
36.4	0.718399
36.6	0.680337
36.8	0.674398
37	0.726614
37.2	0.773705
37.4	0.825722
37.6	0.805167
37.8	0.745745
38	0.721573
38.2	0.646716
38.4	0.670876
38.6	0.780865
38.8	0.763121
39	0.782359
39.2	0.808655
39.4	0.804906
39.6	0.7103
39.8	0.690678
40	0.647001
40.2	0.720482
40.4	0.763303
40.6	0.779388
40.8	0.844416
41	0.762874
41.2	0.657449
41.4	0.701555
41.6	0.682562
41.8	0.660228
42	0.810774
42.2	0.809542
42.4	0.756724
42.6	0.804396
42.8	0.734695
43	0.681479
43.2	0.699621
43.4	0.64827
43.6	0.757525
43.8	0.787152
44	0.804948
44.2	0.823076
44.4	0.729276
44.6	0.668163
44.8	0.690827
45	0.69387
45.2	0.764561
45.4	0.764325
45.6	0.820274
45.8	0.804436
46	0.726515
46.2	0.680617
46.4	0.695589
46.6	0.655147
46.8	0.737821
47	0.781061
47.2	0.809789
47.4	0.825212
47.6	0.764457
47.8	0.729492
48	0.61308
48.2	0.703014
48.4	0.727269
48.6	0.822359
48.8	0.786608
49	0.766568
49.2	0.751607
49.4	0.728596
49.6	0.679336
49.8	0.722596
50	0.685104
50.2	0.742398
50.4	0.839114
50.6	0.8026
50.8	0.791612
51	0.719341
51.2	0.735563
51.4	0.644583
51.6	0.669165
51.8	0.754656
52	0.785926
52.2	0.809967
52.4	0.824177
52.6	0.720716
52.8	0.676857
53	0.645413
53.2	0.710481
53.4	0.744371
53.6	0.789721
53.8	0.806402
54	0.784161
54.2	0.779376
54.4	0.65476
54.6	0.679939
54.8	0.728489
55	0.703995
55.2	0.764678
55.4	0.803133
55.6	0.772007
55.8	0.790121
56	0.735207
56.2	0.690464
56.4	0.663534
56.6	0.667406
56.8	0.788764
57	0.834622
57.2	0.801655
57.4	0.772829
57.6	0.742324
57.8	0.657738
58	0.715337
58.2	0.673848
58.4	0.788154
58.6	0.748431
58.8	0.816242
59	0.796292
59.2	0.780879
59.4	0.689811
59.6	0.646572
59.8	0.709464
